,Unnamed: 0,State,Year,Season,Crop,Area,Production,Rainfall
2,2,Andaman and Nicobar Islands,2000,Kharif     ,Rice,102.0,321.0,2763.2
12,12,Andaman and Nicobar Islands,2001,Kharif     ,Rice,83.0,300.0,3080.9
18,18,Andaman and Nicobar Islands,2002,Kharif     ,Rice,189.2,510.84,2620.2
27,27,Andaman and Nicobar Islands,2003,Kharif     ,Rice,52.0,90.17,2355.9
36,36,Andaman and Nicobar Islands,2004,Kharif     ,Rice,52.94,72.57,2460.1
45,45,Andaman and Nicobar Islands,2005,Kharif     ,Rice,2.09,12.06,2954.7
62,64,Andaman and Nicobar Islands,2010,Autumn     ,Rice,3.5,10.0,3157.1
79,81,Andaman and Nicobar Islands,2000,Kharif     ,Rice,10779.0,31863.0,2763.2
90,92,Andaman and Nicobar Islands,2001,Kharif     ,Rice,9718.0,27033.0,3080.9
96,98,Andaman and Nicobar Islands,2006,Kharif     ,Rice,6854.3,18995.62,2404.7
109,111,Andaman and Nicobar Islands,2010,Autumn     ,Rice,6791.0,20118.0,3157.1
127,129,Andaman and Nicobar Islands,2002,Kharif     ,Rice,10695.8,31600.82,2620.2
137,139,Andaman and Nicobar Islands,2003,Kharif     ,Rice,10509.37,30760.7,2355.9
147,149,Andaman and Nicobar Islands,2004,Kharif     ,Rice,10681.98,29119.66,2460.1
157,159,Andaman and Nicobar Islands,2005,Kharif     ,Rice,8683.38,25870.98,2954.7
170,172,Andaman and Nicobar Islands,2006,Kharif     ,Rice,921.87,2539.64,2404.7
183,185,Andaman and Nicobar Islands,2010,Autumn     ,Rice,1595.5,3788.0,3157.1
202,9832,Arunachal Pradesh,2004,Kharif     ,Rice,3342.0,1914.0,2545.7
211,9841,Arunachal Pradesh,2005,Kharif     ,Rice,3400.0,5000.0,2335.5
220,9850,Arunachal Pradesh,2006,Kharif     ,Rice,4060.0,3004.0,2259.6
230,9860,Arunachal Pradesh,2007,Kharif     ,Rice,4085.0,2530.0,3020.7
240,9870,Arunachal Pradesh,2008,Kharif     ,Rice,3901.0,2516.0,2244.4
250,9880,Arunachal Pradesh,2009,Kharif     ,Rice,3945.0,2355.33,1749.9
260,9890,Arunachal Pradesh,2010,Kharif     ,Rice,3949.0,3631.0,2855.7
269,9899,Arunachal Pradesh,2011,Kharif     ,Rice,3489.0,2988.0,2193.7
278,9908,Arunachal Pradesh,2012,Kharif     ,Rice,3561.0,2996.0,3440.3
287,9917,Arunachal Pradesh,2013,Kharif     ,Rice,3561.0,2624.0,2042.9
296,9926,Arunachal Pradesh,2014,Kharif     ,Rice,3561.0,2394.0,2403.2
304,9934,Arunachal Pradesh,1997,Kharif     ,Rice,11500.0,13800.0,2274.9
315,9945,Arunachal Pradesh,1998,Kharif     ,Rice,11550.0,14316.0,3616.7
330,9960,Arunachal Pradesh,1999,Kharif     ,Rice,11600.0,13733.0,2316.6
341,9971,Arunachal Pradesh,2000,Kharif     ,Rice,11925.0,16387.0,2596.8
352,9982,Arunachal Pradesh,2001,Kharif     ,Rice,11857.0,16250.0,2036.0
363,9993,Arunachal Pradesh,2002,Kharif     ,Rice,11860.0,16780.0,2389.2
374,10004,Arunachal Pradesh,2003,Kharif     ,Rice,11867.0,18508.0,2451.8
385,10015,Arunachal Pradesh,2004,Kharif     ,Rice,11885.0,18630.0,2545.7
394,10024,Arunachal Pradesh,2005,Kharif     ,Rice,11905.0,18667.0,2335.5
404,10034,Arunachal Pradesh,2006,Kharif     ,Rice,6191.0,10606.0,2259.6
