ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102.0,321.0
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83.0,300.0
18,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
27,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52.0,90.17
36,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57
45,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06
64,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10.0
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779.0,31863.0
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718.0,27033.0
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791.0,20118.0
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788.0
216,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600.0,75400.0
228,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000.0,37300.0
244,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300.0,96800.0
253,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600.0,63900.0
268,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991.0,105082.0
281,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258.0,45669.0
304,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Rice,39905.0,117680.0
322,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Rice,22099.0,57236.0
351,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Rice,32878.0,95609.0
368,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Rice,38119.0,108906.0
395,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Rice,29066.0,66329.0
411,Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Rice,10960.0,20462.0
452,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Rice,17515.0,44891.0
470,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Rice,10826.0,25463.0
506,Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Rice,24335.0,85051.0
